ID,优先级,综合分,主分类,子分类,名称,作者/机构,类型,语言,引用角色,访问,更新频率,主页URL,Feed/API URL,Feed状态,适合X帖型,为什么值得,核验/版权提醒,Karpathy共享,来源集合,来源/溯源URL,核验日期,HTTP,最终URL,主题标签
SRC-011,S,95,商业、管理与创新,宏观经济与金融,IMF Data,,国际组织统计 / API,en,证据源,Open,持续更新,https://www.imf.org/en/Data,http://dataservices.imf.org/REST/SDMX_JSON.svc/,API入口,宏观图表、国家与周期比较,全球宏观、财政、金融和国际收支数据的核心入口。,使用前核对数据口径、更新时间、许可与引用格式。；未按 RSS/Atom 校验。,false,扩展调研：数据库、资料库与平台,https://www.imf.org/en/Data,2026-08-17,,http://dataservices.imf.org/REST/SDMX_JSON.svc/,
SRC-012,S,95,商业、管理与创新,就业、工资与价格,U.S. Bureau of Labor Statistics,,官方统计 / API,en,证据源,Open,按月/季度,https://www.bls.gov/data/,https://www.bls.gov/developers/,API入口,劳动力、通胀与行业结构,就业、通胀、生产率和职业数据口径透明。,使用前核对数据口径、更新时间、许可与引用格式。；未按 RSS/Atom 校验。,false,扩展调研：数据库、资料库与平台,https://www.bls.gov/data/,2026-08-17,,https://www.bls.gov/developers/,
SRC-013,S,95,地球、地理与城市,欧洲卫星遥感,Copernicus Browser,,Sentinel卫星影像、地表、气候和灾害数据,en,证据源,Open,近实时，随卫星过境,https://browser.dataspace.copernicus.eu/,,无RSS/API入口,灾害前后对比、城市变化、地理图像,可按地点和日期对比，适合生成一手地理视觉。,平台服务而非RSS；下载和发布时应附卫星、产品、日期和处理级别。,false,扩展调研：科技、科学与数据,https://browser.dataspace.copernicus.eu/,2026-08-17,,,
SRC-014,S,95,地球、地理与城市,ERA5 与气候再分析,Copernicus Climate Data Store,,气候数据平台 / API,en,证据源,Open,持续更新,https://cds.climate.copernicus.eu/,https://cds.climate.copernicus.eu/api-how-to,API入口,气候异常、时间序列与地图,ERA5 等权威气候再分析与预测数据入口。,使用前核对数据口径、更新时间、许可与引用格式。；未按 RSS/Atom 校验。,false,扩展调研：数据库、资料库与平台,https://cds.climate.copernicus.eu/,2026-08-17,,https://cds.climate.copernicus.eu/api-how-to,
SRC-015,S,95,地球、地理与城市,Sentinel 卫星数据,Copernicus Data Space Ecosystem,,遥感数据平台 / API,en,证据源,Open,持续更新,https://dataspace.copernicus.eu/,https://dataspace.copernicus.eu/analyse/apis,API入口,洪水、火灾、农业与城市变化,欧洲 Sentinel 数据的官方发现、处理与下载入口。,使用前核对数据口径、更新时间、许可与引用格式。；未按 RSS/Atom 校验。,false,扩展调研：数据库、资料库与平台,https://dataspace.copernicus.eu/,2026-08-17,,https://dataspace.copernicus.eu/analyse/apis,
SRC-016,S,95,地球、地理与城市,全球生物多样性记录,GBIF,,生物多样性数据库 / API,multilingual,证据源,Open,持续更新,https://www.gbif.org/,https://techdocs.gbif.org/en/openapi/,API入口,物种地图、生态变化、采样偏差,亿级物种出现记录，可做分布、迁徙和采样偏差图。,记录质量和采样强度不均；使用过滤并引用数据集 DOI。；未按 RSS/Atom 校验。,false,扩展调研：数据库、资料库与平台,https://www.gbif.org/,2026-08-17,,https://techdocs.gbif.org/en/openapi/,
SRC-017,S,95,地球、地理与城市,地图、照片、录音与手稿,Library of Congress Digital Collections,,国家馆藏 / API,en,证据源,Open,持续更新,https://www.loc.gov/collections/,https://www.loc.gov/collections/?fo=json,API入口,历史图卡、地图与原始文献,高质量一手图像、地图、录音和文献，并附权利说明。,逐项阅读 Rights & Access；馆藏机构不一定拥有版权。；未按 RSS/Atom 校验。,false,扩展调研：数据库、资料库与平台,https://www.loc.gov/apis/,2026-08-17,,https://www.loc.gov/collections/?fo=json,
SRC-018,S,95,地球、地理与城市,地球遥感与卫星图像,NASA Earth Observatory,,每日卫星图、气候与灾害科学说明,en,证据源,Open,近每日,https://earthobservatory.nasa.gov/,https://science.nasa.gov/feed/?science_org=19791%2C22453,重定向后有效,卫星图解、地理冷知识、气候事件,图像传播力强，同时附科学背景和数据出处。,旧Feed已核验会重定向到NASA Science的限定Feed；保留旧URL便于兼容阅读器。,false,扩展调研：科技、科学与数据,https://earthobservatory.nasa.gov/feeds/image-of-the-day.rss,2026-08-17,200,https://science.nasa.gov/feed/?science_org=19791%2C22453,
SRC-019,S,95,地球、地理与城市,地球观测数据目录,NASA Earthdata,,地球科学数据平台 / API,en,证据源,Open,持续更新,https://www.earthdata.nasa.gov/,https://cmr.earthdata.nasa.gov/search/,API入口,卫星数据、气候与灾害图,跨任务检索卫星、气候、海洋和陆地数据。,使用前核对数据口径、更新时间、许可与引用格式。；未按 RSS/Atom 校验。,false,扩展调研：数据库、资料库与平台,https://www.earthdata.nasa.gov/,2026-08-17,,https://cmr.earthdata.nasa.gov/search/,
SRC-020,S,95,地球、地理与城市,近实时火灾热点,NASA FIRMS,,卫星灾害数据 / API,en,证据源,Open,近实时,https://firms.modaps.eosdis.nasa.gov/,https://firms.modaps.eosdis.nasa.gov/api/,API入口,野火地图、灾害解释与时间线,近实时全球火点数据，适合灾害态势和区域比较。,使用前核对数据口径、更新时间、许可与引用格式。；未按 RSS/Atom 校验。,false,扩展调研：数据库、资料库与平台,https://firms.modaps.eosdis.nasa.gov/,2026-08-17,,https://firms.modaps.eosdis.nasa.gov/api/,
SRC-021,S,95,地球、地理与城市,公共领域底图数据,Natural Earth,,地图数据集,en,证据源,Open,版本发布,https://www.naturalearthdata.com/,,无RSS/API入口,世界地图、地缘与地理图卡,制图友好的国家、城市、河流与地形矢量/栅格数据。,地图边界是制图资料，不代表任何政治立场；标明版本和尺度。,false,扩展调研：数据库、资料库与平台,https://www.naturalearthdata.com/,2026-08-17,,,
SRC-022,S,95,地球、地理与城市,气候、海洋与环境数据,NOAA NCEI,,官方环境数据 / API,en,证据源,Open,持续更新,https://www.ncei.noaa.gov/,https://www.ncei.noaa.gov/access/services/data/v1,API入口,极端天气、长期趋势与地区比较,长期气候和天气观测的权威档案。,使用前核对数据口径、更新时间、许可与引用格式。；未按 RSS/Atom 校验。,false,扩展调研：数据库、资料库与平台,https://www.ncei.noaa.gov/,2026-08-17,,https://www.ncei.noaa.gov/access/services/data/v1,
SRC-023,S,95,地球、地理与城市,开放协作地图,OpenStreetMap,,地理数据库 / Overpass API,multilingual,证据源,Open,实时/持续更新,https://www.openstreetmap.org/,https://overpass-api.de/api/interpreter,API入口,城市结构、服务可达性、路线图,细粒度道路、建筑和设施数据，适合城市与交通分析。,遵守 ODbL 署名和衍生数据库要求；数据完整度地区差异大。；未按 RSS/Atom 校验。,false,扩展调研：数据库、资料库与平台,https://wiki.openstreetmap.org/wiki/Overpass_API,2026-08-17,,https://overpass-api.de/api/interpreter,
SRC-024,S,95,天文与太空,银河系测量与恒星目录,ESA Gaia Archive,,天文数据档案 / TAP API,en,证据源,Open,版本发布,https://gea.esac.esa.int/archive/,https://gea.esac.esa.int/tap-server/tap,API入口,银河系地图、恒星运动与距离,Gaia 恒星位置、距离和运动数据是银河系可视化的核心。,使用前核对数据口径、更新时间、许可与引用格式。；未按 RSS/Atom 校验。,false,扩展调研：数据库、资料库与平台,https://gea.esac.esa.int/archive/,2026-08-17,,https://gea.esac.esa.int/tap-server/tap,
SRC-025,S,95,天文与太空,太阳系天体历表,JPL Horizons,,天体历算 API,en,证据源,Open,持续更新,https://ssd.jpl.nasa.gov/horizons/,https://ssd.jpl.nasa.gov/api/horizons.api,API入口,天象时间线、轨道与位置图,获取行星、小天体和航天器的高精度位置与轨道。,使用前核对数据口径、更新时间、许可与引用格式。；未按 RSS/Atom 校验。,false,扩展调研：数据库、资料库与平台,https://ssd.jpl.nasa.gov/horizons/,2026-08-17,,https://ssd.jpl.nasa.gov/api/horizons.api,
SRC-026,S,95,天文与太空,空间望远镜档案,MAST,,任务数据档案 / API,en,证据源,Open,持续更新,https://mast.stsci.edu/,https://mast.stsci.edu/api/v0/,API入口,任务观测、原始图像与光变曲线,Hubble、JWST、TESS 等任务数据和观测产品的重要入口。,使用前核对数据口径、更新时间、许可与引用格式。；未按 RSS/Atom 校验。,false,扩展调研：数据库、资料库与平台,https://mast.stsci.edu/,2026-08-17,,https://mast.stsci.edu/api/v0/,
SRC-027,S,95,天文与太空,天文物理论文数据库,NASA ADS,,论文元数据、摘要、引文网络与检索,en,证据源,Open,持续索引,https://ui.adsabs.harvard.edu/,https://api.adsabs.harvard.edu/v1/,API入口,文献谱系、引用网络、研究史,查作者、引用、相关论文和研究历史脉络能力强。,无公共统一RSS；支持个人检索提醒和需令牌的官方API。；未按 RSS/Atom 校验。,false,扩展调研：科技、科学与数据,https://ui.adsabs.harvard.edu/help/api/,2026-08-17,,https://api.adsabs.harvard.edu/v1/,
SRC-028,S,95,天文与太空,系外行星数据库,NASA Exoplanet Archive,,系外行星、恒星、确认状态和参数表,en,证据源,Open,持续更新,https://exoplanetarchive.ipac.caltech.edu/,https://exoplanetarchive.ipac.caltech.edu/TAP/,API入口,新行星数据卡、排行、可视化、事实核验,权威结构化数据，可直接制作排行、卡片和图表。,无统一RSS；官方TAP API文档和端点可用。；未按 RSS/Atom 校验。,false,扩展调研：科技、科学与数据,https://exoplanetarchive.ipac.caltech.edu/docs/TAP/usingTAP.html,2026-08-17,,https://exoplanetarchive.ipac.caltech.edu/TAP/,
SRC-029,S,95,天文与太空,高能天体物理档案,NASA HEASARC,,任务数据档案 / API,en,证据源,Open,持续更新,https://heasarc.gsfc.nasa.gov/,https://heasarc.gsfc.nasa.gov/xamin/vo/tap,API入口,黑洞、中子星与高能事件,X 射线和伽马射线任务数据、目录与工具集中入口。,使用前核对数据口径、更新时间、许可与引用格式。；未按 RSS/Atom 校验。,false,扩展调研：数据库、资料库与平台,https://heasarc.gsfc.nasa.gov/,2026-08-17,,https://heasarc.gsfc.nasa.gov/xamin/vo/tap,
SRC-030,S,95,天文与太空,河外天体与红移数据,NASA/IPAC Extragalactic Database,,天文数据库 / TAP API,en,证据源,Open,持续更新,https://ned.ipac.caltech.edu/,https://ned.ipac.caltech.edu/tap,API入口,星系数据、距离与红移解释,星系、类星体等河外天体的交叉标识、红移与文献入口。,使用前核对数据口径、更新时间、许可与引用格式。；未按 RSS/Atom 校验。,false,扩展调研：数据库、资料库与平台,https://ned.ipac.caltech.edu/,2026-08-17,,https://ned.ipac.caltech.edu/tap,
SRC-031,S,95,天文与太空,天体标识与文献,SIMBAD Astronomical Database,,天文数据库 / TAP API,en,证据源,Open,持续更新,https://simbad.cds.unistra.fr/,https://simbad.cds.unistra.fr/simbad/sim-tap,API入口,天体档案、名称辨析、坐标图,查天体名称、坐标、类型与参考文献的权威入口。,使用前核对数据口径、更新时间、许可与引用格式。；未按 RSS/Atom 校验。,false,扩展调研：数据库、资料库与平台,https://simbad.cds.unistra.fr/,2026-08-17,,https://simbad.cds.unistra.fr/simbad/sim-tap,
SRC-032,S,95,天文与太空,天文星表与巡天目录,VizieR,,天文数据服务 / TAP API,en,证据源,Open,持续更新,https://vizier.cds.unistra.fr/,https://tapvizier.cds.unistra.fr/TAPVizieR/tap,API入口,星表可视化、巡天比较,将已发表星表集中为可查询数据，适合可视化和复核数值。,使用前核对数据口径、更新时间、许可与引用格式。；未按 RSS/Atom 校验。,false,扩展调研：数据库、资料库与平台,https://vizier.cds.unistra.fr/,2026-08-17,,https://tapvizier.cds.unistra.fr/TAPVizieR/tap,
SRC-033,S,95,数据与可视化,欧盟官方统计,Eurostat,,官方统计 / API,multilingual,证据源,Open,持续更新,https://ec.europa.eu/eurostat/,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/,API入口,欧洲比较、地区地图与政策图表,欧盟人口、经济、能源、环境和地区数据的标准入口。,使用前核对数据口径、更新时间、许可与引用格式。；未按 RSS/Atom 校验。,false,扩展调研：数据库、资料库与平台,https://ec.europa.eu/eurostat/,2026-08-17,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/,
SRC-034,S,95,数据与可视化,现代艺术开放数据,MoMA Collection Data,,馆藏数据集,en,证据源,Open,阶段更新,https://www.moma.org/collection/,https://github.com/MuseumofModernArt/collection,平台入口,现代艺术数据图、馆藏结构,可下载艺术家与作品元数据，适合统计和可视化。,数据许可与作品图像版权分开核对。；未按 RSS/Atom 校验。,false,扩展调研：数据库、资料库与平台,https://www.moma.org/collection/,2026-08-17,,https://github.com/MuseumofModernArt/collection,
SRC-035,S,95,数据与可视化,OECD 统计与政策指标,OECD Data Explorer,,官方统计 / SDMX API,en,证据源,Open,持续更新,https://data-explorer.oecd.org/,https://sdmx.oecd.org/public/rest/v1/,API入口,政策比较、国家排名与趋势,发达经济体政策、教育、生产率和社会指标口径较完整。,使用前核对数据口径、更新时间、许可与引用格式。；未按 RSS/Atom 校验。,false,扩展调研：数据库、资料库与平台,https://data-explorer.oecd.org/,2026-08-17,,https://sdmx.oecd.org/public/rest/v1/,
SRC-036,S,95,数据与可视化,英国艺术馆藏开放数据,Tate Collection Data,,馆藏数据集,en,证据源,Open,阶段更新,https://www.tate.org.uk/art,https://github.com/tategallery/collection,平台入口,艺术家网络、媒介与年代图,艺术家与作品元数据可下载，适合网络图和时间线。,使用前核对数据口径、更新时间、许可与引用格式。；未按 RSS/Atom 校验。,false,扩展调研：数据库、资料库与平台,https://www.tate.org.uk/art,2026-08-17,,https://github.com/tategallery/collection,
SRC-037,S,95,数据与可视化,人口、住房与经济统计,U.S. Census Data,,官方统计 / API,en,证据源,Open,持续更新,https://data.census.gov/,https://api.census.gov/data.html,API入口,人口结构、地区差异与地图,美国人口普查和社区调查的权威入口。,使用前核对数据口径、更新时间、许可与引用格式。；未按 RSS/Atom 校验。,false,扩展调研：数据库、资料库与平台,https://data.census.gov/,2026-08-17,,https://api.census.gov/data.html,
SRC-038,S,95,数据与可视化,联合国统计数据库,UN Data,,官方统计门户,en,证据源,Open,持续更新,https://data.un.org/,,无RSS/API入口,国家比较、长期趋势,跨人口、经济、环境和社会指标的联合国数据入口。,使用前核对数据口径、更新时间、许可与引用格式。,false,扩展调研：数据库、资料库与平台,https://data.un.org/,2026-08-17,,,
SRC-039,S,95,新闻与调查,军费、武器转移与和平安全,SIPRI Databases,,研究机构数据库,en,证据源,Open,年度/持续更新,https://www.sipri.org/databases,,无RSS/API入口,国防数据、长期趋势与国家比较,军费、武器转移和维和数据的权威入口。,使用前核对数据口径、更新时间、许可与引用格式。,false,扩展调研：数据库、资料库与平台,https://www.sipri.org/databases,2026-08-17,,,
SRC-040,S,95,新闻与调查,武装冲突数据,UCDP,,学术冲突数据库 / API,en,证据源,Open,版本发布,https://ucdp.uu.se/,https://ucdp.uu.se/apidocs/,API入口,战争趋势、冲突定义与长期比较,定义明确、长期可比的国家和事件级冲突数据。,使用前核对数据口径、更新时间、许可与引用格式。；未按 RSS/Atom 校验。,false,扩展调研：数据库、资料库与平台,https://ucdp.uu.se/,2026-08-17,,https://ucdp.uu.se/apidocs/,
SRC-041,S,95,科学与数学,开放获取论文聚合,CORE,,开放论文数据库 / API,en,证据源,Open,持续更新,https://core.ac.uk/,https://core.ac.uk/services/api,API入口,开放全文、研究综述,聚合全球机构库与开放全文，可补足付费墙后的合法开放版本。,使用前核对数据口径、更新时间、许可与引用格式。；未按 RSS/Atom 校验。,false,扩展调研：数据库、资料库与平台,https://core.ac.uk/,2026-08-17,,https://core.ac.uk/services/api,
SRC-042,S,95,科学与数学,论文 DOI 与元数据,Crossref REST API,,学术元数据 API,en,证据源,Open,持续更新,https://www.crossref.org/,https://api.crossref.org/works,API入口,论文溯源、引用网络、研究趋势,用 DOI、作者、期刊和参考文献追到正式出版记录。,使用前核对数据口径、更新时间、许可与引用格式。；未按 RSS/Atom 校验。,false,扩展调研：数据库、资料库与平台,https://www.crossref.org/,2026-08-17,,https://api.crossref.org/works,
SRC-043,S,95,科学与数学,研究对象 DOI,DataCite Commons,,研究元数据图谱 / API,en,证据源,Open,持续更新,https://commons.datacite.org/,https://api.datacite.org/,API入口,数据 DOI、作者与机构图谱,追踪数据集、软件、机构与研究者的 DOI 关系。,使用前核对数据口径、更新时间、许可与引用格式。；未按 RSS/Atom 校验。,false,扩展调研：数据库、资料库与平台,https://commons.datacite.org/,2026-08-17,,https://api.datacite.org/,
SRC-044,S,95,科学与数学,开放获取期刊目录,DOAJ,,期刊目录 / API,en,证据源,Open,持续更新,https://doaj.org/,https://doaj.org/api/,API入口,开放期刊清单、许可核验,筛选开放获取期刊并查看基础质量与许可信息。,使用前核对数据口径、更新时间、许可与引用格式。；未按 RSS/Atom 校验。,false,扩展调研：数据库、资料库与平台,https://doaj.org/,2026-08-17,,https://doaj.org/api/,
SRC-045,S,95,科学与数学,生命科学全文与资助信息,Europe PMC,,文献数据库 / API,en,证据源,Open,每日,https://europepmc.org/,https://www.ebi.ac.uk/europepmc/webservices/rest/,API入口,开放全文、资助与引用脉络,连接论文、开放全文、资助与引用，适合生命科学证据链。,使用前核对数据口径、更新时间、许可与引用格式。；未按 RSS/Atom 校验。,false,扩展调研：数据库、资料库与平台,https://europepmc.org/,2026-08-17,,https://www.ebi.ac.uk/europepmc/webservices/rest/,
SRC-046,S,95,科学与数学,开放学术图谱,OpenAlex,,学术知识图谱 / API,en,证据源,Open,持续更新,https://openalex.org/,https://api.openalex.org/,API入口,领域地图、机构比较、引用趋势,覆盖论文、作者、机构、主题与引用关系，适合做研究版图。,使用前核对数据口径、更新时间、许可与引用格式。；未按 RSS/Atom 校验。,false,扩展调研：数据库、资料库与平台,https://openalex.org/,2026-08-17,,https://api.openalex.org/,
SRC-047,S,95,科学与数学,开放科学项目仓储,OSF,,项目仓储 / API,en,证据源,Open,持续更新,https://osf.io/,https://api.osf.io/v2/,API入口,研究方法、预注册、复现材料,可查看预注册、材料、数据和版本历史，帮助判断研究透明度。,使用前核对数据口径、更新时间、许可与引用格式。；未按 RSS/Atom 校验。,false,扩展调研：数据库、资料库与平台,https://osf.io/,2026-08-17,,https://api.osf.io/v2/,
SRC-048,S,95,科学与数学,研究数据与软件仓储,Zenodo,,开放仓储 / API,multilingual,证据源,Open,持续更新,https://zenodo.org/,https://zenodo.org/api/records,API入口,原始数据、代码和方法附件,论文之外还能找到数据、代码、海报与可引用 DOI。,使用前核对数据口径、更新时间、许可与引用格式。；未按 RSS/Atom 校验。,false,扩展调研：数据库、资料库与平台,https://zenodo.org/,2026-08-17,,https://zenodo.org/api/records,
SRC-049,S,95,艺术、设计与建筑,艺术馆藏与 IIIF,Art Institute of Chicago API,,博物馆馆藏 API,en,证据源,Open,持续更新,https://www.artic.edu/collection,https://api.artic.edu/docs/,API入口,作品图卡、策展主题、IIIF 图像,开放 API 与 IIIF 图像接口清晰，方便做可追溯视觉素材。,使用前核对数据口径、更新时间、许可与引用格式。；未按 RSS/Atom 校验。,false,扩展调研：数据库、资料库与平台,https://www.artic.edu/collection,2026-08-17,,https://api.artic.edu/docs/,
SRC-050,S,95,艺术、设计与建筑,世界文化与考古藏品,British Museum Collection,,博物馆馆藏平台,en,证据源,Open,持续更新,https://www.britishmuseum.org/collection,,无RSS/API入口,文物故事、文明比较,跨文明器物和考古信息密集，适合物件驱动的历史叙事。,对出处、归属与文化敏感性保持谨慎；逐项核对图像许可。,false,扩展调研：数据库、资料库与平台,https://www.britishmuseum.org/collection,2026-08-17,,,
SRC-051,S,95,艺术、设计与建筑,开放馆藏图像,Cleveland Museum of Art Open Access,,博物馆馆藏 API,en,证据源,Open,持续更新,https://www.clevelandart.org/art/collection,https://openaccess-api.clevelandart.org/,API入口,作品故事、风格与年代比较,开放图像和元数据许可清晰，适合高质量艺术内容。,使用前核对数据口径、更新时间、许可与引用格式。；未按 RSS/Atom 校验。,false,扩展调研：数据库、资料库与平台,https://www.clevelandart.org/art/collection,2026-08-17,,https://openaccess-api.clevelandart.org/,
SRC-052,S,95,艺术、设计与建筑,法国国家图书馆数字馆藏,Gallica,,国家数字图书馆 / API,fr,证据源,Open,持续更新,https://gallica.bnf.fr/,https://api.bnf.fr/,API入口,法国史、设计史、旧版画,旧报刊、书籍、地图、乐谱与图像质量高。,查看 Gallica/BnF 的复用与署名条款。；未按 RSS/Atom 校验。,false,扩展调研：数据库、资料库与平台,https://gallica.bnf.fr/,2026-08-17,,https://api.bnf.fr/,
SRC-053,S,95,艺术、设计与建筑,荷兰国家博物馆馆藏,Rijksmuseum Collection,,博物馆数据 / API,en/nl,证据源,Open,持续更新,https://www.rijksmuseum.nl/en/rijksstudio,https://data.rijksmuseum.nl/,API入口,作品细节、艺术史与视觉拆解,高分辨率艺术图像与精细元数据，适合局部细节叙事。,使用前核对数据口径、更新时间、许可与引用格式。；未按 RSS/Atom 校验。,false,扩展调研：数据库、资料库与平台,https://www.rijksmuseum.nl/en/rijksstudio,2026-08-17,,https://data.rijksmuseum.nl/,
SRC-054,S,95,艺术、设计与建筑,跨博物馆开放馆藏,Smithsonian Open Access,,博物馆开放数据 / API,en,证据源,Open,持续更新,https://www.si.edu/openaccess,https://api.si.edu/openaccess/api/v1.0/,API入口,跨学科馆藏、历史图像与 3D,覆盖艺术、历史、航空航天与自然史，多模态素材丰富。,区分 CC0 开放资产与仅供浏览项目；保留条目 ID 和机构名。；未按 RSS/Atom 校验。,false,扩展调研：数据库、资料库与平台,https://www.si.edu/openaccess/devtools,2026-08-17,,https://api.si.edu/openaccess/api/v1.0/,
SRC-055,S,95,艺术、设计与建筑,博物馆藏品与开放图像,The Met Collection API,,博物馆馆藏 API,en,证据源,Open,持续更新,https://www.metmuseum.org/art/collection,https://collectionapi.metmuseum.org/public/collection/v1/,API入口,艺术作品图卡、年代与流派比较,数十万件藏品元数据，开放图像标记清晰，适合艺术史图卡。,只复用明确标记 Public Domain/Open Access 的图像，并署名作品与机构。；未按 RSS/Atom 校验。,false,扩展调研：数据库、资料库与平台,https://metmuseum.github.io/,2026-08-17,,https://collectionapi.metmuseum.org/public/collection/v1/,
SRC-056,S,95,艺术、设计与建筑,装饰艺术、设计与时尚,V&A Collections,,博物馆馆藏 API,en,证据源,Open,持续更新,https://collections.vam.ac.uk/,https://api.vam.ac.uk/v2/,API入口,设计史、物件故事、风格演变,设计史、时尚、器物与海报资源尤其强。,使用前核对数据口径、更新时间、许可与引用格式。；未按 RSS/Atom 校验。,false,扩展调研：数据库、资料库与平台,https://collections.vam.ac.uk/,2026-08-17,,https://api.vam.ac.uk/v2/,
